,title,word
house,The Great Gatsby,20
one,The Great Gatsby,17
car,The Great Gatsby,16
death,The Great Gatsby,14
day,The Great Gatsby,13
king,Macbeth,13
lifeboat,Life of Pi,12
ganymede,As You Like It,12
leave,The Great Gatsby,10
past,The Great Gatsby,10
one,Jane Eyre,10
time,The Great Gatsby,10
prism,The Importance of Being Earnest,10
duke,As You Like It,10
city,The Great Gatsby,10
people,The Great Gatsby,10
st,Jane Eyre,9
house,The Taming of the Shrew,9
take,The Great Gatsby,9
home,The Great Gatsby,9
love,As You Like It,9
back,The Great Gatsby,8
room,Jane Eyre,8
marry,Emma,8
parties,The Great Gatsby,8
group,Twelfth Night,8
goes,The Great Gatsby,8
become,The Great Gatsby,8
young,As You Like It,8
minister,The Scarlet Letter,7
buchanans,The Great Gatsby,7
party,The Great Gatsby,7
never,Emma,7
story,The Great Gatsby,7
house,Jane Eyre,7
man,The Great Gatsby,7
calls,The Taming of the Shrew,7
east,The Great Gatsby,7
schoolteacher,Beloved,7
one,Much Ado About Nothing,7
visit,Emma,7
going,The Great Gatsby,6
see,The Great Gatsby,6
grace,Jane Eyre,6
aunt,Jane Eyre,6
leaving,The Great Gatsby,6
journey,The Great Gatsby,6
never,The Great Gatsby,6
summer,The Great Gatsby,6
love,The Great Gatsby,6
head,The Great Gatsby,6
two,The Great Gatsby,6
madame,The Awakening,6
made,The Great Gatsby,6
agrees,The Taming of the Shrew,6
london,Emma,6
robert,Emma,6
two,Jane Eyre,6
night,Jane Eyre,6
scotland,Macbeth,6
afternoon,The Great Gatsby,6
like,The Great Gatsby,6
affair,The Great Gatsby,6
meets,The Great Gatsby,6
explains,The Importance of Being Earnest,6
reisz,The Awakening,6
moving,The Great Gatsby,6
killed,The Great Gatsby,6
met,The Great Gatsby,6
murder,Macbeth,6
learns,Emma,6
lady,Pride and Prejudice,6
takes,Emma,6
years,The Great Gatsby,6
told,The Great Gatsby,6
egg,The Great Gatsby,6
years,Jane Eyre,5
crowd,The Scarlet Letter,5
martin,Emma,5
suitors,The Taming of the Shrew,5
vincentio,The Taming of the Shrew,5
rivers,Jane Eyre,5
marry,Pride and Prejudice,5
child,The Scarlet Letter,5
refuses,The Scarlet Letter,5
must,Emma,5
ends,The Great Gatsby,5
summer,The Awakening,5
woman,The Awakening,5
well,The Great Gatsby,5
man,As You Like It,5
woman,Jane Eyre,5
army,Macbeth,5
adèle,Jane Eyre,5
lowood,Jane Eyre,5
mistress,The Great Gatsby,5
drinking,The Great Gatsby,5
next,Emma,5
turns,The Great Gatsby,5
bates,Emma,5
although,The Great Gatsby,5
family,The Awakening,5
wedding,Jane Eyre,5
husband,The Scarlet Letter,5
gas,The Great Gatsby,5
father,As You Like It,5
tells,The Great Gatsby,5
highbury,Emma,5
leave,Emma,5
learns,Jane Eyre,5
poole,Jane Eyre,5
love,Jane Eyre,5
love,Emma,5
arrives,The Importance of Being Earnest,5
meet,The Taming of the Shrew,5
meet,The Great Gatsby,5
tiger,Life of Pi,5
prophecy,Macbeth,5
father,The Scarlet Letter,5
men,The Taming of the Shrew,5
real,The Taming of the Shrew,5
also,The Awakening,5
children,The Awakening,5
letter,Emma,5
another,Much Ado About Nothing,5
wife,The Great Gatsby,5
discovers,Jane Eyre,5
wife,Othello,5
wife,Macbeth,5
learned,The Great Gatsby,5
wife,The Taming of the Shrew,5
home,Beloved,4
party,Emma,4
uncle,Jane Eyre,4
john,Emma,4
looking,The Great Gatsby,4
closer,The Great Gatsby,4
despite,The Great Gatsby,4
early,The Great Gatsby,4
drive,The Great Gatsby,4
home,Emma,4
party,Jane Eyre,4
lost,The Great Gatsby,4
isle,The Awakening,4
unable,The Great Gatsby,4
school,Jane Eyre,4
know,The Great Gatsby,4
scaffold,The Scarlet Letter,4
wealth,The Great Gatsby,4
always,The Great Gatsby,4
charles,As You Like It,4
engagement,The Importance of Being Earnest,4
children,Beloved,4
one,The Taming of the Shrew,4
point,The Great Gatsby,4
experienced,The Great Gatsby,4
water,Life of Pi,4
away,Jane Eyre,4
opens,The Taming of the Shrew,4
completely,The Great Gatsby,4
discussion,The Great Gatsby,4
disgusted,The Great Gatsby,4
escape,Beloved,4
enters,The Taming of the Shrew,4
poor,Jane Eyre,4
audrey,As You Like It,4
upon,Emma,4
leave,The Taming of the Shrew,4
appears,The Great Gatsby,4
wants,The Great Gatsby,4
baby,Beloved,4
sees,The Great Gatsby,4
sees,The Scarlet Letter,4
self,The Awakening,4
house,Beloved,4
little,The Great Gatsby,4
slave,Beloved,4
wedding,The Taming of the Shrew,4
house,The Awakening,4
padua,The Taming of the Shrew,4
unfolds,The Great Gatsby,4
prepares,The Great Gatsby,4
even,Emma,4
baby,The Importance of Being Earnest,4
learns,The Great Gatsby,4
plans,The Great Gatsby,4
last,The Great Gatsby,4
plans,The Importance of Being Earnest,4
sister,Pride and Prejudice,4
end,The Great Gatsby,4
life,The Great Gatsby,4
hyena,Life of Pi,4
secret,The Great Gatsby,4
keeps,The Great Gatsby,4
wolfshiem,The Great Gatsby,4
story,Life of Pi,4
girls,Jane Eyre,4
marriage,The Taming of the Shrew,4
finally,The Taming of the Shrew,4
questions,The Great Gatsby,4
decides,Emma,4
daughters,Pride and Prejudice,4
tries,Jane Eyre,4
man,The Taming of the Shrew,4
news,Emma,4
castle,Macbeth,4
though,The Great Gatsby,4
across,The Great Gatsby,4
strange,Jane Eyre,4
daughter,Beloved,4
father,The Kite Runner,4
trip,The Great Gatsby,4
sound,The Great Gatsby,4
far,The Great Gatsby,4
day,Emma,4
death,Romeo and Juliet,4
woman,The Taming of the Shrew,4
father,Pride and Prejudice,4
goes,Life of Pi,4
continue,The Great Gatsby,4
marry,Much Ado About Nothing,4
adam,As You Like It,4
father,Emma,4
grand,The Awakening,4
three,The Great Gatsby,4
special,The Great Gatsby,4
mason,Jane Eyre,4
families,Romeo and Juliet,4
though,Emma,4
man,The Scarlet Letter,4
party,The Taming of the Shrew,4
begins,The Great Gatsby,4
thinks,Emma,4
country,The Importance of Being Earnest,4
fairfax,Emma,4
begin,The Taming of the Shrew,4
still,As You Like It,4
brother,The Importance of Being Earnest,4
loved,The Great Gatsby,4
brother,As You Like It,4
following,Jane Eyre,4
cambio,The Taming of the Shrew,4
time,Emma,4
love,Twelfth Night,4
morning,The Great Gatsby,4
fact,Emma,4
face,The Great Gatsby,4
touchstone,As You Like It,4
reunion,The Great Gatsby,4
make,Emma,4
night,The Great Gatsby,4
daughter,As You Like It,4
soon,Pride and Prejudice,4
man,Jane Eyre,4
soon,Jane Eyre,4
meyer,The Great Gatsby,4
feeling,The Great Gatsby,4
name,The Scarlet Letter,4
night,Romeo and Juliet,4
time,Macbeth,3
claims,The Taming of the Shrew,3
ends,The Taming of the Shrew,3
plantation,Beloved,3
information,The Handmaid's Tale,3
refuses,The Taming of the Shrew,3
engaged,Emma,3
play,The Taming of the Shrew,3
attention,The Great Gatsby,3
bodwin,Beloved,3
plotting,As You Like It,3
end,The Importance of Being Earnest,3
helen,Jane Eyre,3
friends,The Great Gatsby,3
collins,Pride and Prejudice,3
together,Emma,3
toward,The Great Gatsby,3
religious,Life of Pi,3
fortune,The Great Gatsby,3
duty,Emma,3
takes,The Great Gatsby,3
returns,Emma,3
relationships,The Kite Runner,3
peace,Romeo and Juliet,3
servants,The Taming of the Shrew,3
brocklehurst,Jane Eyre,3
food,The Taming of the Shrew,3
first,As You Like It,3
first,Emma,3
find,As You Like It,3
town,The Scarlet Letter,3
time,Romeo and Juliet,3
phebe,As You Like It,3
plan,The Scarlet Letter,3
returns,The Importance of Being Earnest,3
sent,Jane Eyre,3
tapes,The Handmaid's Tale,3
friend,The Importance of Being Earnest,3
final,Macbeth,3
boston,The Scarlet Letter,3
relationship,The Kite Runner,3
friend,Emma,3
eat,Life of Pi,3
refuses,Jane Eyre,3
french,Life of Pi,3
servant,The Taming of the Shrew,3
island,Life of Pi,3
refuses,Pride and Prejudice,3
escape,The Handmaid's Tale,3
upon,The Taming of the Shrew,3
two,Beloved,3
second,The Handmaid's Tale,3
chasuble,The Importance of Being Earnest,3
however,The Importance of Being Earnest,3
however,Pride and Prejudice,3
ten,Jane Eyre,3
second,Life of Pi,3
family,Pride and Prejudice,3
family,Jane Eyre,3
haired,Jane Eyre,3
behavior,The Great Gatsby,3
eventually,Life of Pi,3
ever,The Great Gatsby,3
two,Emma,3
hurt,The Awakening,3
bateses,Emma,3
falls,As You Like It,3
begins,The Taming of the Shrew,3
two,Pride and Prejudice,3
third,Jane Eyre,3
proves,Emma,3
home,Pride and Prejudice,3
proud,Pride and Prejudice,3
become,Emma,3
become,Jane Eyre,3
become,The Awakening,3
process,The Awakening,3
family,The Handmaid's Tale,3
back,The Taming of the Shrew,3
seen,Emma,3
bed,The Taming of the Shrew,3
feste,Twelfth Night,3
garage,The Great Gatsby,3
garner,Beloved,3
revenge,The Scarlet Letter,3
reverend,The Scarlet Letter,3
cincinnati,Beloved,3
trick,Twelfth Night,3
ghost,Beloved,3
aunt,Pride and Prejudice,3
church,The Scarlet Letter,3
father,The Taming of the Shrew,3
immediately,The Taming of the Shrew,3
real,The Handmaid's Tale,3
child,Beloved,3
estate,Pride and Prejudice,3
going,Emma,3
governess,Emma,3
childhood,The Kite Runner,3
bertha,Jane Eyre,3
three,Jane Eyre,3
greatly,The Great Gatsby,3
back,Jane Eyre,3
temple,Jane Eyre,3
green,The Great Gatsby,3
carriage,The Importance of Being Earnest,3
group,The Great Gatsby,3
two,The Taming of the Shrew,3
two,The Handmaid's Tale,3
letter,Twelfth Night,3
accepts,Pride and Prejudice,3
life,Jane Eyre,3
named,The Importance of Being Earnest,3
dark,Jane Eyre,3
dinner,Emma,3
daughter,Othello,3
light,The Great Gatsby,3
daughter,The Taming of the Shrew,3
conditions,Jane Eyre,3
old,Jane Eyre,3
meanwhile,As You Like It,3
need,Jane Eyre,3
diana,Jane Eyre,3
wedding,Romeo and Juliet,3
day,Jane Eyre,3
work,Jane Eyre,3
life,Beloved,3
silvius,As You Like It,3
survive,Life of Pi,3
must,The Scarlet Letter,3
orleans,The Awakening,3
sweet,Beloved,3
show,The Great Gatsby,3
leaves,Jane Eyre,3
story,Jane Eyre,3
disguised,As You Like It,3
mysteriously,The Great Gatsby,3
letter,Jane Eyre,3
order,The Taming of the Shrew,3
leaving,Emma,3
name,The Importance of Being Earnest,3
men,Much Ado About Nothing,3
men,As You Like It,3
stabs,Othello,3
may,The Taming of the Shrew,3
neighbor,The Great Gatsby,3
local,Jane Eyre,3
almost,The Awakening,3
love,Pride and Prejudice,3
new,Macbeth,3
married,Jane Eyre,3
new,The Awakening,3
love,Romeo and Juliet,3
marriage,Romeo and Juliet,3
many,The Kite Runner,3
new,Jane Eyre,3
widow,The Taming of the Shrew,3
wife,Jane Eyre,3
notices,The Great Gatsby,3
suddenly,Jane Eyre,3
man,Life of Pi,3
makes,Life of Pi,3
love,Much Ado About Nothing,3
marries,Twelfth Night,3
nephews,Beloved,3
also,The Taming of the Shrew,3
woodhouses,Emma,3
netherfield,Pride and Prejudice,3
mary,Jane Eyre,3
long,The Taming of the Shrew,3
marry,The Taming of the Shrew,3
west,The Great Gatsby,3
marry,The Importance of Being Earnest,3
women,The Handmaid's Tale,3
novel,The Kite Runner,3
westons,Emma,3
marry,Romeo and Juliet,3
social,The Awakening,3
also,Jane Eyre,3
struggles,The Kite Runner,3
midwest,The Great Gatsby,3
soon,Emma,3
come,The Taming of the Shrew,3
come,The Great Gatsby,3
arrive,Emma,3
later,Emma,3
later,Beloved,3
mother,The Handmaid's Tale,3
yet,The Great Gatsby,3
cousins,Jane Eyre,3
convinces,Othello,3
stay,The Importance of Being Earnest,3
arranges,Othello,3
yet,The Kite Runner,3
shame,The Scarlet Letter,3
arms,The Great Gatsby,3
station,The Great Gatsby,3
mrs,Jane Eyre,3
miss,Jane Eyre,3
arrive,The Taming of the Shrew,3
mother,Jane Eyre,3
killed,As You Like It,3
later,Othello,3
kill,Othello,3
later,The Scarlet Letter,3
