title,word,frequency
Twelfth Night,cesario,71
Twelfth Night,love,58
Twelfth Night,play,39
Twelfth Night,night,35
Twelfth Night,twelfth,34
Twelfth Night,antonio,27
Twelfth Night,like,24
Twelfth Night,also,22
Twelfth Night,aguecheek,20
Twelfth Night,feste,18
Twelfth Night,gender,18
Twelfth Night,social,18
Twelfth Night,even,17
Twelfth Night,letter,15
Twelfth Night,man,15
Twelfth Night,one,14
Twelfth Night,boy,12
Twelfth Night,says,12
Twelfth Night,andrew,11
Twelfth Night,brother,11
Twelfth Night,desire,11
Twelfth Night,woman,11
Twelfth Night,disguise,10
Twelfth Night,illyria,10
Twelfth Night,characters,9
Twelfth Night,get,9
Twelfth Night,much,9
Twelfth Night,often,9
Twelfth Night,relationship,9
Twelfth Night,thinks,9
Twelfth Night,dead,8
Twelfth Night,disguised,8
Twelfth Night,group,8
Twelfth Night,male,8
Twelfth Night,meanwhile,8
Twelfth Night,theater,8
Twelfth Night,women,8
Twelfth Night,yet,8
Twelfth Night,young,8
Twelfth Night,captain,7
Twelfth Night,finds,7
Twelfth Night,house,7
Twelfth Night,however,7
Twelfth Night,lady,7
Twelfth Night,pad,7
Twelfth Night,romantic,7
Twelfth Night,seems,7
Twelfth Night,since,7
Twelfth Night,spirit,7
Twelfth Night,suggests,7
Twelfth Night,think,7
Twelfth Night,thinking,7
Twelfth Night,wants,7
Twelfth Night,way,7
Twelfth Night,2,6
Twelfth Night,belch,6
Twelfth Night,character,6
Twelfth Night,class,6
Twelfth Night,course,6
Twelfth Night,cross,6
Twelfth Night,disguises,6
Twelfth Night,everyone,6
Twelfth Night,find,6
Twelfth Night,fool,6
Twelfth Night,go,6
Twelfth Night,happy,6
Twelfth Night,identity,6
Twelfth Night,mourning,6
Twelfth Night,order,6
Twelfth Night,performance,6
Twelfth Night,poetry,6
Twelfth Night,scene,6
Twelfth Night,sea,6
Twelfth Night,self,6
Twelfth Night,servant,6
Twelfth Night,still,6
Twelfth Night,work,6
Twelfth Night,1,5
Twelfth Night,ambition,5
Twelfth Night,asks,5
Twelfth Night,associated,5
Twelfth Night,back,5
Twelfth Night,deception,5
Twelfth Night,decides,5
Twelfth Night,dress,5
Twelfth Night,drinking,5
Twelfth Night,duel,5
Twelfth Night,fact,5
Twelfth Night,falls,5
Twelfth Night,folly,5
Twelfth Night,gives,5
